Iozone: Performance Test of File I/O
Version : 3.465 $
Compiled for 64 bit mode.
Build: linux-AMD64
	
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
             512       4   786391  1467055  2065273  1705969  1169140   936209  1139970   1103647   1166599  1340664  1252318  1840480  1909204
             512       4   312961  1500891  1977778  1674052  1437592  1089647  1293037   1204552   1251589  1306409  1471074  1977778  2438090
             512       4   311644  1546280  1897396  1823291  1130370  1013534  1221684   1069035   1115688  1337324  1476130  1125630  2097550
             512       4   341368  1551867  1848401  1975959  1240025  1112797  1258188   1147892   1560891  1225169  1383861  2065273  2427068
             512       4   341803  1350783  2032051  1797349  1152822   978885  1140576   1158418   1336492  1497750  1402845  1917728  2047551
             512       4   355555  1433753  1938502  1848401  1216149   960496  1264113   1158418   1227971  1614885  1053304  2150051  1875849
             512       4   577932  1426135  1902438  1795846  1227971   953671  1455126   1187895   1127402  1276891   962218  1683237  1645826
             512       4   298892  1422357  1975959  1807941  1160923   946526  1176828   1087440   1207940  1361057  1355045  1933266  1904125
             512       4   399992  1647088  1977778  1723770   859060  1010197  1323315   1165966   1261144  1429934  1354190   996139  1764853
             512       4   445553  1387437  1619757  1835760  1060063   951558  1164070   1086890   1132755  1257451  1289156  2007358  1867692
