Iozone: Performance Test of File I/O
Version : 3.465 $
Compiled for 64 bit mode.
Build: linux-AMD64
	
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
             512       4   753025  1060063  1821745  1730717  1069035   917412   969603   1030064   1115688  1236455  1270094   988345  1776533
             512       4   331821  1336492  1594501  1707325  1135150   942786  1096322   1158418   1193175  1422357  1399189  1674052  2014892
             512       4   297484   815353  1889050  1938502  1179413  1039035  1196499   1038532   1286838  1196499  1125040  1760512  1803387
             512       4   866338  1372364  1985091  1807941  1084694  1084694  1115109   1015932   1060063  1340664  1320061  1992458  1890713
             512       4   326127  1344020  1585086  1614885  1103647   953248  1036527    986529   1140576  1264113  1207261  1772135  1736314
             512       4   292739   519744  1861217  1718254  1184618  1028091  1111070    986529   1135150  1414860  1286838  1795846  1153441
             512       4   339479  1260404  1589779  1657257  1034530   915847  1066380   1007827   1053304  1249404  1429934  1940253  1842059
             512       4   325090  1255246  1875849  1795846  1201856   879465  1078159   1196499   1255246  1355045  1399189  1718254  2016784
             512       4   824431  1520013   925717  1570020  1138158   920953   941133   1030064   1082507  1255246  1233614  1789859  1753325
             512       4   454320  1336492  1917728  1904125  1361920  1005938  1004057   1014013   1122687   639930  1273861  1560891  1711407
