Iozone: Performance Test of File I/O
Version : 3.465 $
Compiled for 64 bit mode.
Build: linux-AMD64
	
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
             512       4   788702  1518938  2285029  2039772  1383861  1204552  1446306   1379416   1101383  1531941  1450212  2169601  1368865
             512       4   740050  1650887   427716  2205248  1614885  1239310  1340664   1509330   1437592  1471074  1635797  2294796  2471765
             512       4   982917  1729323  2427068  2022482  1476130  1182010  1413929   1368865   1137555  1488408  1375881  2152206  1924603
             512       4   898225  1689859  2225819  2057359  1459080  1207261  1555239   1442420   1471074  1426135  1652157  2381315  2047551
             512       4   872320  1551867  2560168  2225819  1514652  1326585  1446306   1406520   1406520  1538526  1848401  2402629  1187895
             512       4  1026126  1712772  2381315  2150051  1411141   982917  1380303   1323315   1417662  1459080  1372364  2081286  2097550
             512       4   849208  1075459  1874212  1760512  1585086  1142396  1500891   1463057   1014013  1471074  1089647  2169601  2105777
             512       4   860437  1458090  2265742  1376763  1407442  1204552  1368865   1372364   1438555  1501940  1289930  2722449  1410215
             512       4   779258  1589779  2307123  1778004  1570020  1270094  1803387   1171052   1729323  1625889  1333173  2275345  1236455
             512       4   981121  1760512  1889050  1917728  1369738  1075459  1279935   1322500   1391032  1441452  1450212  1747618  2141475
