Iozone: Performance Test of File I/O
Version : 3.465 $
Compiled for 64 bit mode.
Build: linux-AMD64
	
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
             512       4  1164070  2116152  2275345  2135087  1479181  1437592  1391032   1556366   1300082  1977778  2024389  2073249  2275345
             512       4  1239310  2071249  2275345  2225819  1375881  1455126  1480200   1442420   1406520  1947291  1985091  2225819  2065273
             512       4  1239310  1961520  2105777  2099600  1438555  1361920  1438555   1497750   1492545  1862832  1985091  2253852  2091421
             512       4  1230786  1924603  2265742  2265742  1467055  1376763  1450212   1514652   1350783  1834193  1968713  2216629  2235086
             512       4  1084694  2150051  2337255  2350044  1289930  1493584  1514652   1575781   1455126  1992458  2022482  2065273  2081286
             512       4  1169140  2073249  2057359  2178404  1429934  1406520  1195832   1160923   1273861  1947291  1279935  2207515  2039772
             512       4  1204552  1910902  2081286  2244430  1454140   927716  1463057   1528669   1492545  1827947  1947291  2189509  1954379
             512       4  1282994  2089386  2081286  2235086  1471074  1357615  1471074   1450212   1488408  1931527  1789859  2216629  2225819
             512       4  1261144  2370799  2910635  2402629  1662389  1718254  1657257   1652157   1696534  2198475  2152206  2463259  2524058
             512       4  1233614  2097550  2089386  2275345  1398278  1350783  1479181   1437592   1514652  1924603  1797349  2244430  2256220
